genes,PCA_0,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17,PCA_18,PCA_19,PCA_20,PCA_21,PCA_22,PCA_23,PCA_24,PCA_25,PCA_26,PCA_27,PCA_28,PCA_29,PCA_30,PCA_31,PCA_32,PCA_33,PCA_34,PCA_35,PCA_36,PCA_37,PCA_38,PCA_39,PCA_40,PCA_41,PCA_42,PCA_43,PCA_44,PCA_45,PCA_46,PCA_47,PCA_48,PCA_49
NCOR2,0.0017287874607145313,0.00021642489568526925,-0.002278827798341625,0.006407932493180479,-0.004316911975716742,-0.004528484263890528,0.005485245042072619,0.0009107138371891859,0.013882423682243064,0.0008300688179067022,-0.016376945140487015,0.0069496560675778385,0.009183559189993638,0.0056849721063041,-0.009770169045358938,0.009053421600950275,0.006163490805110045,-0.004165136044342617,-0.00749771694098312,0.011074373436225863,-0.0020251575775684753,-0.000675567894254261,0.00545449255090393,0.015703341826602338,-0.012053459828086028,0.005039828452480995,0.03313200676458529,-0.010995118866597802,-0.03012976460520189,0.0090007944883049,-0.013413492144363815,-0.003250070959129398,-0.004982905404136528,-0.006010206132101738,0.0005738159590805724,-0.010382226227134158,-0.004216552048561774,0.00021986473719864494,0.008193621166910008,-0.000253304870705732,0.010837631128182253,0.007189921440273623,-0.01565193976081024,-0.012069621483488094,-0.013525597746978727,-0.0012108045912061364,0.005162358362121616,0.010794881984311486,-0.018670051460956974,-0.0001692406357694343
TMPO,-0.004428231646631368,-0.00022090171134385388,0.012979805740137393,-0.005091454742435965,-0.004617950279495234,0.003985450841647386,0.007554782358295225,0.008524019187608336,-0.011371481477147794,0.001062053790911479,-0.003962129660274413,-0.003992590528543616,-0.0014992001320724784,0.012416848503231834,-0.00031842761413437116,0.0060443777613733984,-0.004830828520471531,-0.019553250653291922,0.01836622737342152,0.0013350014417851865,-0.013237802885492688,-0.0219447112542194,-0.0014095577922127354,-0.001238607859060711,0.012541286641332621,0.005574428543736755,-0.005346515705769591,-0.0032913761138302624,0.005885139534658987,0.0005474163064049133,-0.013768086656402993,-0.0014135049702923318,0.0022135177463454203,0.003002640204262391,0.001526835186056322,0.0023263961588185856,0.017032059109003125,0.007659075606885837,0.007163124328082361,-0.0012677497906692144,-0.010732977938402626,-0.008609294761440931,0.002785747466664125,0.002044135892547942,-0.01197633077351137,0.01328068976534402,-0.01042903598938513,0.007140624221973935,0.0018442760685644718,0.008099001897356241
CEP97,-0.00936811639382124,0.0012954794335342666,0.010433552459846602,0.006610524971591653,0.009698323723881774,0.0018240157676317054,-0.011179270304081633,-0.008233951318810358,-0.012128884466002436,-0.011525194442202642,0.011324030014536768,-0.005616676332263709,0.0009403173056715614,-0.0005008216665242392,-0.0055334885525794904,0.0015181216120499468,-0.003555865820917318,0.0015953838802083647,-0.012983525725865135,-0.004138005157948598,0.009292594035397604,0.018867520823497536,-0.003693024733807856,-0.021504496267798424,0.015407918166729458,-0.0003025943386970898,0.0055968101975179705,0.004672742803712954,0.01414304202943531,-0.013017166303029943,0.002513265162685037,-0.002322488284574008,-0.004773788025447351,-0.006902822735800559,0.0020395319863571594,-0.002050582155898042,0.01359031728266906,-0.006776812128465595,-0.007836765564098434,-0.005869439208604789,-0.013716239212144031,-0.011561082134876974,-0.0029364648342452924,0.00564502314974502,-0.006866258116963837,-0.00856656723086375,-0.002487960258144289,-0.0013403100686958632,0.004203552050323661,0.011026114906722707
PPP2R1A,0.04076968239479544,-0.003220433101520696,0.060478573623112535,-0.0015730530394687783,0.019127328717183333,-0.017493566089181265,0.036469835323158034,0.06772056307383595,-0.042512804528473114,0.02353290719603343,0.04454205838170105,-0.037100886496830625,-0.04537072027714938,-0.049738304920208413,-0.027142025850108283,0.053300802090974306,0.027300398394885753,0.04088925093419256,0.05956612647518917,-0.007427634810642304,0.014753768159519648,0.0326940300357197,-0.03802818207424279,0.013066111916810395,-0.01735821407035469,0.05372872797798681,0.023147941022744367,-0.017001772022704194,0.013615653367230605,-0.014329227999147164,-0.13613723341241168,0.028444229631335985,0.002403365589741219,0.03572421998947421,-0.0012462761629750702,-0.04970774063645173,0.061122938782313695,0.03505901824600786,0.028113303123285978,-0.008562969071635167,-0.04718330693343085,0.006040820454950859,0.006094053152593879,-0.004888220368146692,0.07698141366859008,-0.01934973649022112,0.02790083920989092,-0.009201566700496914,-0.039902759285195585,0.015163929666666359
RPAP2,0.0015625274699587201,-0.01281687210663324,0.0005467458693247995,-0.003016686776358359,0.017521800487947055,0.040606565500753714,0.01567224680430038,-0.01425656977140989,-0.043009466021287225,0.024566160102375306,0.003686489885906803,0.014772926525518986,-0.028287096107855597,0.0048477079677773805,-0.02253979645679122,0.007457114192029387,-0.014171900362517413,-0.0012623062266521603,0.016847458388553418,0.020394966426242996,0.013779611594675306,-0.02135924977990166,-0.023544775044019906,0.007760369175236726,0.0046388048878619175,0.012195279567358497,-0.02550787977221831,-0.015314600289159937,-0.01660333718891129,-8.16015906959789e-05,0.013095237777425904,-0.013154214016043464,0.009285304799696397,0.013682673137810731,-0.004464731715804936,-0.018021228535311854,0.004181798351508464,-0.003835989101309369,0.01107319170222296,-0.007193393596286996,-0.013721195392096408,-0.014101946977506802,0.0164687516083509,0.0200438377827438,-0.007834568814703126,-0.010210841310153602,-0.008411168492775612,0.010848775466836802,-0.01855720708598739,0.0053096001758144796
EXOC5,0.020987364638769792,0.014363033106950066,-0.001233872353863747,0.0054706009787091016,-0.01598439621329355,-0.0160242737097189,-0.008621556419149879,-0.02445671562715963,-0.005092894670587133,0.017538572396147086,-0.02331293241520442,-0.01933046924206464,0.025273012932985613,0.005114647512461409,0.006824749172311377,-0.01479252038954657,-0.015539662465852923,-0.018091696868856817,-0.012954526945909152,0.023891100662520762,0.005735685439108212,-0.00866265980079842,0.0037205428297444796,-0.022869592705327964,-0.004173384235310108,-0.010497744139431825,0.014254836501312906,-0.010562074732547408,0.0023018119574758312,-0.003059043077367277,0.018864495400005565,0.013191501046060735,-0.014964575925150086,-0.0033920368155052603,0.018500089820691637,-0.00027606262701514183,-0.015985364799620653,0.014519319405633956,0.0036249311265454656,0.02381284077248767,0.008404824769654208,-0.015119186707823175,-0.022669717408049402,0.011565355463961377,0.007185519042302577,-0.002427474507546859,0.005938402105299434,-0.006374071777848701,0.0014361015496580825,0.01938836547286689
RFC3,-0.02170639968912902,0.00898321191196566,0.034190378697984976,0.008520799115680665,0.0026040100083211727,0.03064690547270511,-0.00036706691155764635,0.040528016662092284,-0.005506856232896492,0.012773454686813134,0.014494360048340382,-0.020927349041859958,0.019258004388734158,0.020935651402144796,0.008359634994730743,0.022416184615232822,0.022425344451176586,-0.041291761850491,-0.005209624402247339,-0.007856395235146198,0.05629333135364266,0.0009660475644779336,0.03614121365463859,-0.044599082737978545,0.005983302529023127,0.013795877282358874,-0.029792079599383292,0.017231658323946245,0.020654220163696484,-0.006280388267099177,-0.012417624728437408,0.018456116069865518,0.016282770737609448,0.0502591294125118,0.04633482792521193,0.004598269038659774,0.00968078774573078,-0.03134641852094263,0.0009598706544550874,-0.023764247293816914,0.017938449662230842,-0.029650013968085025,-0.023687597105862254,0.013439561705133893,0.024165364931345832,-0.011563857005609014,-0.03616304818174975,0.024558759567222532,0.008041544501312104,0.01536430273086576
CMIP,-0.003349564308009496,0.003939488960802759,-0.008919194802105611,0.02359596892158689,-0.003985654350189125,0.030767083170632953,0.028405910424199796,-0.020559503209924803,0.012896571246650728,-0.03467992984830907,0.024388155655403813,0.02437272169615381,-0.03161127523288544,0.003406961370595041,-0.018653988858109153,0.037997688609040625,-0.0018349940393427692,-0.015679666492250728,0.007617581982666024,-0.008189158906106699,0.02617942316784434,-0.012247537601100103,-0.042298516278176185,0.020815352030942466,0.024094179711842915,-0.017216614448050723,0.025728927418352563,-0.016914572128595914,-0.028453820312119495,0.0022091052037254196,0.04463687997964705,0.021888922008889176,-0.0005873462740940992,-0.002557938811776089,0.0015597281898499847,0.03338417648915744,-0.023647789885834707,0.03186997416157122,0.012357948383248878,-0.029282008072659405,0.04212873439619093,-0.0380078641063907,-0.037047908873049304,-0.0017989872357978569,-0.005432466855339799,0.03270106267332437,-0.033728591980716496,0.008772401217867815,0.009883352428014714,0.015455449328164065
NFKBIA,-0.007449644859518145,-0.006273454316947673,-0.006073468618570323,0.002551893330750722,-0.002006327565448137,0.010136295593425252,-0.014609816220337721,-0.009766262366092762,-0.004871623404223529,-0.016426000627611726,-0.005769415735101365,-0.020066136790061983,-0.01080760868580066,-0.017861169449152347,0.0067310860940799164,0.02165759663966615,-0.011974085503631415,0.008347222533686078,0.025839940342551847,-0.013885641520790857,0.006774182626562817,-0.004822561200934256,-0.0013583053083982624,-0.00010695163637818452,0.008704919260836136,0.02298998242211194,-0.0029097515098729667,-0.0011330572892958883,0.005807268778808024,-0.001178856840859283,-0.010679480206673123,0.003568221387781168,0.020732778877953297,0.003299460209580252,-0.00537507640907735,0.008255673980225406,0.01981294146599537,-0.004163619933385418,0.01387176979177055,-0.017167875666277907,0.0010496899429949932,0.002352567425549236,0.003327214789223957,0.0064055897974406376,-0.01839631946415753,0.003551062671887407,0.006486212933671161,-0.003256849970371646,0.001318734108824397,0.004728618515209114
LIN37,0.012292080568167631,0.006141310473947924,-0.00022461787204992094,0.007812131668135989,0.00031054397220977626,-0.028702356295290724,-0.022369311263153526,0.004359882011970696,-0.00012376927813794527,-0.0151319215462528,0.008754346929266146,0.011896421186797157,0.0142540732912277,0.002341848933081229,-0.017671259765400942,0.012183528889017093,-0.02334983462229327,-0.009950528981258025,0.017296974515630743,-0.011238722938947005,-0.001742311538395723,0.021240907245488504,-0.021891455988012856,-0.010733379905286916,-0.0045098753579618425,0.00787843794184471,-0.0010720431704960176,-0.020704066408250944,-0.00999365149809642,0.0034868044474768256,-0.009192304921691053,-0.016232564831341008,0.012311181221231348,-0.030120657601300307,-0.0034024023475751385,-0.005100064501969138,0.0014416070437593199,0.0059640841661235755,0.011484499016112995,0.01623433811656551,0.0009578451380556852,-0.036406105729612906,-0.03234744089627688,-0.017395681371754918,0.01522088856700742,-0.003921444653550204,0.008463804347366622,-0.00664558477413197,0.011876870138862147,0.01301256284237818
