entrez_id	symbol_id	dependency_column	qc_pass
283383	ADGRD1	ADGRD1 (283383)	False
2015	ADGRE1	ADGRE1 (2015)	False
30817	ADGRE2	ADGRE2 (30817)	False
84658	ADGRE3	ADGRE3 (84658)	False
976	ADGRE5	ADGRE5 (976)	False
266977	ADGRF1	ADGRF1 (266977)	False
165082	ADGRF3	ADGRF3 (165082)	False
221393	ADGRF4	ADGRF4 (221393)	False
221395	ADGRF5	ADGRF5 (221395)	False
9289	ADGRG1	ADGRG1 (9289)	False
10149	ADGRG2	ADGRG2 (10149)	False
222487	ADGRG3	ADGRG3 (222487)	False
139378	ADGRG4	ADGRG4 (139378)	False
221188	ADGRG5	ADGRG5 (221188)	False
57211	ADGRG6	ADGRG6 (57211)	False
84873	ADGRG7	ADGRG7 (84873)	False
22859	ADGRL1	ADGRL1 (22859)	False
23266	ADGRL2	ADGRL2 (23266)	False
23284	ADGRL3	ADGRL3 (23284)	False
64123	ADGRL4	ADGRL4 (64123)	False
84059	ADGRV1	ADGRV1 (84059)	False
124	ADH1A	ADH1A (124)	False
125	ADH1B	ADH1B (125)	False
127	ADH4	ADH4 (127)	False
128	ADH5	ADH5 (128)	False
130	ADH6	ADH6 (130)	False
131	ADH7	ADH7 (131)	False
137872	ADHFE1	ADHFE1 (137872)	False
55256	ADI1	ADI1 (55256)	False
149685	ADIG	ADIG (149685)	False
9370	ADIPOQ	ADIPOQ (9370)	False
51094	ADIPOR1	ADIPOR1 (51094)	False
79602	ADIPOR2	ADIPOR2 (79602)	False
10974	ADIRF	ADIRF (10974)	False
132	ADK	ADK (132)	False
133	ADM	ADM (133)	False
79924	ADM2	ADM2 (79924)	False
199800	ADM5	ADM5 (199800)	False
23394	ADNP	ADNP (23394)	False
22850	ADNP2	ADNP2 (22850)	False
84890	ADO	ADO (84890)	False
134	ADORA1	ADORA1 (134)	False
135	ADORA2A	ADORA2A (135)	False
136	ADORA2B	ADORA2B (136)	False
140	ADORA3	ADORA3 (140)	False
83440	ADPGK	ADPGK (83440)	True
141	ADPRH	ADPRH (141)	False
113622	ADPRHL1	ADPRHL1 (113622)	False
56985	ADPRM	ADPRM (56985)	False
54936	ADPRS	ADPRS (54936)	False
148	ADRA1A	ADRA1A (148)	False
147	ADRA1B	ADRA1B (147)	False
146	ADRA1D	ADRA1D (146)	False
150	ADRA2A	ADRA2A (150)	False
151	ADRA2B	ADRA2B (151)	False
152	ADRA2C	ADRA2C (152)	False
153	ADRB1	ADRB1 (153)	False
154	ADRB2	ADRB2 (154)	False
155	ADRB3	ADRB3 (155)	False
11047	ADRM1	ADRM1 (11047)	True
158	ADSL	ADSL (158)	True
122622	ADSS1	ADSS1 (122622)	False
159	ADSS2	ADSS2 (159)	True
84830	ADTRP	ADTRP (84830)	False
165	AEBP1	AEBP1 (165)	False
121536	AEBP2	AEBP2 (121536)	False
64782	AEN	AEN (64782)	False
60312	AFAP1	AFAP1 (60312)	False
134265	AFAP1L1	AFAP1L1 (134265)	False
84632	AFAP1L2	AFAP1L2 (84632)	False
4301	AFDN	AFDN (4301)	True
