ModelID,0,1,2,3,4,5,6,7,8,9
ACH-000505,0.2174403,-0.5263161,-0.9876002,-1.2213496,-0.5586773,0.090429544,0.2756455,0.9296384,0.3920697,0.5308514
ACH-000962,0.10134348,0.34066933,-0.13622855,0.9040563,-0.9281716,-0.15949672,-0.46495393,-0.17226058,0.2279651,1.3929669
ACH-000448,0.64219636,0.2345266,-1.2252915,0.38073578,0.7477715,-0.31267256,1.0115181,-1.0978067,-0.23917493,-0.23976824
ACH-000238,-0.51111615,0.23259735,-0.21699625,-0.7916659,-0.21149306,1.2580919,1.1423361,-0.79852265,0.5813079,-0.3946761
ACH-001016,0.7125299,0.13026142,0.56199336,-0.42984545,-1.0122645,0.16346422,0.7924488,0.10810589,-0.013404906,-1.464901
ACH-000889,-0.23462433,-0.42916566,2.2794237,2.3583057,-0.10104847,1.3681779,0.39864963,0.61101586,0.24149689,-0.7507648
ACH-000138,0.20776007,2.4018679,-0.060651988,1.2239954,-0.25159538,0.65928245,1.1228347,0.09466386,-0.2826669,0.33198914
ACH-000499,-0.40319502,-0.46324235,0.68187344,-0.91728586,-0.8595106,0.025989473,-2.4024467,-1.3231233,1.9533148,1.7075237
ACH-002001,1.12742,0.34952235,1.553714,0.9234652,-1.1829703,0.36446756,-1.3437043,0.3077014,-1.0336218,0.907845
ACH-000304,-1.1629496,-1.706619,0.030053258,-0.85599923,0.2120018,0.96934247,0.5846833,-1.2739804,-1.3253698,0.7059488
ACH-000303,1.4975127,0.5150013,0.05303196,0.6696935,-1.9698956,-1.0612795,0.9174566,0.12584642,-0.8652953,1.1474473
ACH-000350,0.064326435,-0.9815696,-1.4881275,-1.5026896,0.8143176,-1.0915388,2.0222056,-1.0961809,-1.4019333,-0.68913347
ACH-000381,-0.30221307,0.5840771,0.9389187,0.70402074,-0.3846915,-0.14511043,-1.231863,-1.34704,0.38674104,0.30079496
ACH-000077,-0.11292493,-1.495156,0.7236744,0.6678705,-0.5161734,1.5266418,0.55637693,-0.66073346,-0.3433258,0.8951043
ACH-000280,-0.53483707,-0.5030202,0.13569784,-1.1479224,-0.07512023,2.0103717,1.0464547,-0.6157588,-0.99163306,1.3065765
ACH-001970,-1.3594358,-1.380663,0.017979145,-0.07570791,-0.043940675,1.7683654,0.019740993,0.20707196,-1.3826091,1.8908811
ACH-001345,-0.84889716,-0.48945278,0.8097509,-0.52930444,1.3509964,-0.28756535,-0.5814286,-1.723155,-1.3944968,1.241071
ACH-001556,1.1354787,0.8313737,-0.50222456,0.47822714,1.0670779,-1.3380013,-0.8451036,0.2655011,0.68140244,0.5964778
ACH-000922,-0.68037117,-0.7803745,1.436567,2.0745022,1.5298072,-0.8861259,0.20502305,0.12074345,2.466169,0.32255325
ACH-000363,0.14580032,-0.3746398,-0.096636705,2.0996394,4.6924496,-0.49202782,-0.28672513,1.0219762,0.74794483,-0.94590986
ACH-000092,0.5196952,0.4831363,-0.98542875,-0.12163855,1.6093177,-1.2500377,0.7978064,0.98501587,-0.13341677,0.2458033
ACH-002458,1.1138171,-0.1355785,0.6014953,-0.42647418,0.7839082,1.9790909,1.2085254,0.7716845,-1.2898126,2.223926
ACH-001852,-0.8989124,2.2611687,2.0697513,-0.023382634,0.3308722,0.1276366,0.7183261,-1.849897,-0.07316539,0.3277285
ACH-000310,1.3582869,-1.7985437,-1.0266724,-0.73965234,1.510642,0.62796414,-0.74587697,-0.6821792,-0.7384735,-0.08186144
ACH-001301,1.7120103,-1.061072,-0.8329316,-1.077254,-0.2287693,-0.15718964,-1.7895753,-0.65373254,0.94550633,0.57865816
ACH-000646,0.3973413,-1.3789393,-0.6207613,0.047231317,1.7229778,0.77970564,1.2517612,0.08482781,-2.0186741,-0.8706534
ACH-001307,-1.1508523,0.051131204,-0.967227,-0.9616239,0.45953313,-0.652046,0.76877564,0.6395468,-1.4119515,-1.4177732
ACH-000550,-1.1821092,-0.09910284,-1.1579802,-0.28208476,0.24101506,-0.4305356,0.53357714,3.318891,0.38264164,1.1793269
ACH-000142,0.5320586,1.2947048,-0.55085975,0.25942928,1.4386426,-0.3698368,0.775839,-0.47277176,0.09538302,0.40661842
ACH-000316,-1.045831,0.9596989,-0.35586235,-0.23726091,0.34091675,0.56835526,-0.5727947,1.3911635,1.329741,0.9846461
ACH-000647,1.8280531,0.43042544,-0.0036531836,-0.6007073,-0.2768439,-0.55493987,-0.39779854,-0.14493331,0.60983396,-1.3534474
ACH-001335,-0.2825008,-0.5525096,0.98095834,-0.44515258,0.76045215,-0.40646935,-0.31950635,-1.0685179,-0.86270446,-0.41099805
ACH-000438,-1.477323,0.3721853,-0.8345135,0.51103866,-0.16235472,-1.0986085,1.0865144,-1.6486726,0.2929173,-0.3485554
ACH-002785,0.2542411,-0.6882919,-0.41650957,0.029553413,0.2222018,-1.2723289,2.1416702,1.0265486,0.18706366,0.4668635
ACH-000258,-1.1642904,-1.4702762,-1.5266538,-0.44386858,-0.76642656,1.0595381,0.36504877,-1.0613799,-1.3404595,0.8449456
ACH-001550,-1.305567,-1.6402173,-1.2413878,-1.2729579,-0.45397937,-1.2289935,-0.39706784,0.5439728,0.70976555,0.51701355
ACH-001211,-0.1590277,-0.32666588,-0.28423363,1.2192094,1.317203,1.1129867,-0.392382,0.2377817,0.17688613,2.3082674
ACH-002106,1.327662,-0.63525647,0.48066765,1.9212275,0.2043325,0.6680877,-1.1498375,0.102050796,1.1449215,0.06780785
ACH-001608,-1.5698411,0.7452582,0.64540356,-1.349937,-1.1777467,-0.39717406,1.2598853,-0.12830415,0.8885728,1.0175161
ACH-000609,-0.031719,-1.101711,-0.98589706,-1.5527112,-1.1611718,-0.5415914,0.076416194,0.9992127,2.0667157,0.034333944
ACH-000882,0.49360424,1.2643404,1.6621598,1.076761,1.179333,0.21461517,-1.5849838,-0.5562934,0.23467323,1.1092292
ACH-002043,0.33721012,0.833376,0.7365957,-0.18949293,0.8247721,-0.7917266,0.3772772,-0.06391144,0.5153391,-0.32953104
ACH-002297,0.089720726,0.7347136,0.0773529,-0.01838404,0.7248391,-0.08355938,-0.37043855,-1.3413138,0.77097917,0.7118591
ACH-000655,1.6701591,0.18390253,-0.081472814,-0.8295736,-0.36608347,-1.7508633,-0.31917578,-0.36984944,0.68573487,-0.6787839
ACH-000120,0.61463356,-0.16765161,-0.31388688,-1.1604612,1.7605062,-0.15624054,1.0008252,-0.66677797,1.0749704,2.2136831
ACH-001622,-0.06896635,0.34302956,-0.41288632,-1.5250156,1.1704456,-0.50280976,0.16026735,0.19063902,0.51846004,2.0265584
ACH-000464,-0.22318763,0.0598194,-1.1543336,-1.7741456,0.9211602,0.23954897,0.07376404,1.8160868,2.458466,-0.6039537
ACH-000101,-2.276944,-1.090642,1.2720159,2.1355045,-0.6152041,-1.7502868,0.84077764,-1.4869915,0.57175416,0.5813938
ACH-000326,-0.7699139,-0.26105225,1.3904326,2.508432,0.3354925,1.1957281,0.6155578,0.3621555,0.6471358,-0.8095722
ACH-001495,-0.12941265,-0.33864892,-0.80037946,0.36500144,1.3562663,1.1134597,0.05718755,0.12599775,-1.2418039,-0.40123937
ACH-000533,-0.39267763,-0.50537217,1.7675142,0.040659815,0.2709419,1.7475836,1.634892,0.6675096,0.053760365,1.2318194
ACH-000741,0.32696706,1.579061,-0.5206847,-0.24023002,-1.5154339,0.6655759,1.5214175,-0.6931044,0.02247025,0.45411453
ACH-000459,-0.8789511,-0.8880651,-1.9198945,-1.3778384,0.23398305,-1.9260491,1.0420294,-0.21886533,-2.0901096,-0.65101826
