0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
ACTB,-0.04025575,-0.062796436,-0.0038526815,0.015660724,-0.043381594,-0.031977225,0.053583603,0.032972727,-0.06618989,0.11914477,0.031538874,0.020021224,-0.07357051,-0.020505479,-0.02445986,0.030469904,-0.05294547,0.04720549,-0.108427905,-0.06363584,0.05022649,-0.019673804,-0.03470534,-0.028607832,-0.029393887,-0.019034922,0.016560834,0.05393364,0.011167333,0.060059328,0.060625993,-0.014543878,0.0827153,0.00784657,-0.05040289,-0.0069032833,0.023235923,0.044548366,-0.061989263,-0.00963809,-0.0022394387,-0.14260858,-0.021202806,0.07542318,0.005180497,-0.014489662,-0.05672483,0.08060526,0.0214238,0.02198872,-0.01025644,-0.02038277,-0.0756925,-0.034640696,0.03785284,-0.030923693
ACTL6A,-0.0032540616,0.0067044124,0.06989249,0.10511468,-0.036962274,-0.039987937,-0.006931016,0.005614216,0.0496193,0.041137233,0.0010915513,-0.07497449,-0.05967928,-0.026256273,-0.12007829,0.025011742,0.0031272303,0.0051324274,-0.011783863,-0.07091215,0.040445507,0.015121846,0.014457155,-0.020835767,0.08396891,-0.0065664747,-0.088736005,0.028180541,-0.065145805,-0.0042578657,-0.044825744,-0.0723056,0.008323846,-0.0063587553,0.018131422,-0.08464905,-0.040829223,-0.049318757,-0.02370821,-0.036678,-0.054592695,-0.07937251,-0.0556115,-0.034353916,-0.009710164,-0.1034881,-0.004187624,-0.025209486,0.003369559,-0.015920019,0.063670665,-0.017562531,-0.051195282,0.0092113,-0.107903406,0.042751994
ACTR10,-0.09235869,-0.059007093,-0.0645902,0.07171691,-0.0845458,-0.023422327,-0.041684102,-0.07313013,-0.066606864,0.018237708,-0.05386494,-0.027964823,-0.009993291,-0.050248202,0.045532946,0.040899687,0.002048945,-0.023957651,0.043213673,-0.036620986,0.009317798,0.029121935,0.03436486,-0.001243512,0.012799518,-0.023539076,0.04150496,0.037712295,-0.012141653,-0.083974235,-0.05095878,-0.042501956,-0.015159372,-0.008414255,0.03509249,0.03430562,0.040675804,-0.03187492,0.04171036,0.023542779,0.08231444,-0.046795987,-0.01698949,-0.033559185,-0.047760904,0.009976054,-0.044184897,-0.034822375,-0.008800679,-0.02109706,-0.03745554,-0.007663594,-0.027926352,-0.040368605,-0.0051688654,-0.040032297
ACTR1A,0.054155007,-0.0107002985,0.015787736,0.06890927,-0.04908244,0.04536819,-0.062387045,-0.0019618112,-0.03462819,0.004896466,-0.07907766,-0.04439745,-0.09103865,-0.042839274,-0.039139073,0.03594066,0.0017796399,-0.021267666,-0.003075611,-0.07461888,-0.042308617,-0.05620366,0.00490379,-0.05859462,-0.039876733,-0.0659894,0.047533628,-0.06608103,0.028873032,0.027337136,0.08400185,0.01616752,-0.0710915,-0.029150601,-0.07865899,0.09281657,0.005169849,-0.0529296,0.012587949,-0.045254976,0.018322201,0.043321125,0.086605564,0.040925737,0.042769812,0.013531788,-0.050164137,0.04388876,-0.050295666,-0.09076782,0.00054036995,0.029162979,-0.051085614,0.0071176286,0.03159349,-0.022067452
ACTR2,0.0036371204,-0.028110264,0.018937562,-0.033996698,0.0048949346,-0.08597771,0.0039723567,0.031334892,0.03483302,-0.0061626895,-0.016629998,0.012436555,0.06452147,0.014896466,-0.057174064,0.04218067,0.021439092,0.051811624,-0.0144575,0.026657745,-0.018175215,-0.04592318,0.044707377,0.011149339,-0.05141984,-0.04312915,-0.062560305,0.041597113,0.028338296,-0.08430827,0.033962306,0.016380318,0.021124866,0.04241472,0.01664649,-0.07551555,0.058558233,-0.038507257,0.035678174,0.063653134,-0.005360559,-0.014836743,0.01116903,0.06298704,-0.012147103,0.046479896,0.032070484,0.00015653166,-0.0888434,-0.030743206,-0.026125511,0.011158736,0.021498336,-0.036624126,-0.025619509,0.049484342
ACTR3,0.017654825,-0.02550596,-0.0060756537,0.022459565,-0.013172545,-0.05136179,0.04788393,0.06334097,0.049706005,0.007529651,-0.069993705,-0.06107026,0.032245345,-0.03964332,-0.028565917,0.03384251,0.110973075,-0.023205142,-0.024993489,0.0058918856,0.032416105,0.047706075,0.013279075,0.015291158,0.028686747,0.011523543,0.057784785,0.02774496,0.065367356,-0.01659477,-0.04867662,-0.0028286139,0.022374595,0.0020317456,-0.01443389,-0.06657063,0.033906065,0.06340937,0.013601156,0.03899716,0.019122208,-0.016142057,-0.009807249,0.0050278,-0.031403538,-0.04628176,-0.03402311,0.017966235,-0.0067417165,-0.009068216,0.022984454,0.010921049,-0.06920309,-0.036554344,-0.025517114,-0.015646981
ACTR5,-0.019188778,-0.026077747,-0.07498899,-0.07651226,-0.009983127,0.009582734,-0.011474035,-0.055676922,-0.079853415,0.028734744,-0.026133513,-0.037862804,0.0057004094,-7.099104e-05,-0.0029657143,0.09895893,-0.012751392,0.038124435,-0.004227255,0.026145872,0.034751963,0.029337585,0.09139445,-0.055131666,-0.03609881,0.055676747,-0.08804007,0.042408787,-0.022851376,-0.028830232,-0.009250394,0.0625964,-0.012133503,0.036009416,-0.004247733,-0.0545178,-0.030032845,-0.022927638,-0.0034024871,-0.03146429,0.06279851,-0.106469534,-0.034409396,-0.018537153,-0.03557609,0.0058535375,-0.034891237,0.036259737,-0.01892086,0.032534406,-0.010720758,0.011039329,-0.13397634,-0.0020793295,0.0116492435,-0.10012124
ACTR6,0.0083519,-0.03328406,0.012675142,0.0016891052,-0.012720559,-0.021379162,0.048942428,-0.01708,-0.005784212,0.033134248,0.06614165,-0.060996678,-0.06806687,-0.007491374,0.014213166,0.04835532,-0.082481615,0.05605192,0.030409856,-0.049692646,0.056499958,0.010210552,-0.026269859,-0.011755627,0.0016537588,-0.028886754,0.028642982,0.022455815,0.061451785,0.07450806,-0.044205453,-0.068491995,-0.0028819987,-0.029847413,-0.02981878,-0.024638623,0.030958258,-0.014549068,0.0006537479,-7.754482e-05,0.07815485,0.07781723,-0.02733383,-0.053601373,-0.0025158084,-0.039547518,-0.011399044,0.0049046064,-0.04734111,-0.00656336,0.089719094,0.054956604,-0.053528726,-0.01735415,-0.013594686,0.015702078
ACTR8,-0.012331768,-0.037026778,-0.020951789,0.019320259,0.027313175,0.018143225,0.07995659,0.02514879,0.052398916,0.042842887,0.036019597,-0.02398386,-0.028154384,-0.021360891,0.05267575,0.03498415,-0.018892275,0.03751476,-0.042784672,0.08967939,-0.011959815,0.050026108,0.0044912254,-0.09529233,0.02018035,0.03719112,0.056817103,-0.028264156,0.055392876,0.03138768,0.080941185,0.070514575,0.0064043114,0.030406937,0.033158954,-0.057820387,0.09255774,-0.0028482685,0.050278686,0.05555485,0.07032742,-0.006003965,0.018719267,0.05643291,0.039316557,0.0323086,0.022496052,0.014496614,0.043607187,0.029500177,0.09015913,-0.054944504,0.06570708,-0.014993503,-0.049172483,0.03886258
ACVR1B,-0.0903499,-0.07763562,-0.026141051,0.0049042627,0.049649056,0.11499751,0.061657537,-0.010135744,-0.051084816,-0.013768836,0.029224211,0.07809415,-0.025356174,-0.008831262,-0.04193113,-0.004555961,0.06461868,0.04012248,-0.0011136053,0.05749986,0.095002465,-0.10235025,0.022801775,-0.043417946,0.018320145,0.05838186,0.0068147997,-0.07217324,-0.048906904,-0.008218682,0.043335322,0.0992172,0.071506545,-0.0070182392,-0.08275794,0.023324627,0.07722111,-0.029976951,0.03814812,0.09291582,0.046201546,-0.06534047,0.011338708,-0.08422782,0.033773597,-0.046034507,0.077893816,0.036980215,-0.08815332,-0.056765866,0.020235484,-0.023461709,0.08934248,-0.010673496,0.042280693,-0.010560261
ADAR,-0.016734038,0.0054680887,-0.11506572,0.0026939441,-0.01692631,-0.09608079,0.0042737583,0.06952213,0.034656744,0.034218047,-0.028002793,-0.017031284,0.023053193,-0.007034096,-0.12448992,-0.00590651,0.04534642,0.02460865,-0.042392604,-0.0221309,-0.027794342,-0.040287733,-0.043508843,0.015403645,-0.035261396,-0.09122159,-0.057372455,-0.056856573,0.04589265,-0.022943417,-0.056601238,0.006610918,-0.0579041,-0.017754337,-0.06446689,-0.044241443,0.092068255,-0.09230477,-0.09564382,-0.05108106,-0.031638913,-0.058060687,-0.019143945,-0.04744612,-0.011029079,-0.056176867,-0.0074456804,-0.017468551,-0.008183033,0.04268062,0.012407478,-0.027576538,-0.06863501,0.026052587,-0.062425103,0.033557713
ADAT2,-0.013929442,-0.10711045,-0.040989198,-0.034905918,0.090217866,-0.009488547,0.016538229,-0.07030001,0.0015527596,-0.039672934,0.060450085,0.0010191207,-0.033657297,-0.046591662,-0.015632352,-0.014457584,-0.0023367524,0.03491258,0.007136461,-0.03966238,-0.011243789,0.022231596,-0.017746372,0.011021901,0.006199854,0.03162733,-0.017016927,0.022019137,-0.043362204,0.07710127,-0.019337736,-0.05469205,-0.040366195,-0.0024037627,-0.041995738,-0.07163154,0.073592626,0.05405082,-0.0032761532,-0.018510247,0.029770583,-0.0165054,-0.094527654,-0.002227613,-0.047221098,0.0029875156,0.0035302495,-0.048977047,-0.021914717,-0.14656913,-0.0819986,-0.033637956,-0.017393518,-0.090678744,0.025093907,-0.011735448
ADPGK,0.059360214,0.039185286,0.010467573,0.05612508,0.020971665,-0.0038788598,-0.019444918,-0.094611734,-0.033873063,-0.030268429,-0.02508101,0.060107786,0.06265696,0.043707125,0.0108521925,0.050995383,-0.027677735,-0.095566556,0.07100114,0.12222367,-0.035839893,0.020988092,0.00069846056,0.05158301,-0.042717773,0.012221225,0.07283311,-0.02865461,0.05702715,-0.012958509,0.13851804,0.109141186,0.05545054,0.051107183,0.09282979,0.019321231,-0.0029931376,0.07007235,-0.0037785622,0.042358387,-0.0074008885,0.06888163,-0.036097378,0.04368682,0.08075932,-0.0020265481,0.07341785,0.04224577,0.0011152633,-0.015834263,0.029133787,-0.015461456,0.05282734,-0.00640551,0.045925256,-0.039781198
ADRM1,-0.06351612,-0.074239634,0.035144426,0.0341245,-0.04675251,-0.042501204,-0.03378283,0.046430446,0.038390372,-0.08123264,-0.06321393,0.001811984,0.0019121291,-0.110875055,-0.045540474,0.07634811,0.007976253,0.07664967,0.07272893,-0.018170854,0.048102003,0.011627952,-0.07305907,0.007902525,0.008702351,-0.064946994,0.017987266,-0.04600632,-0.049420036,-0.02775147,0.056420542,-0.020899665,0.036718752,-0.017918982,-0.020457147,-0.03059894,-0.1347059,0.080552146,0.016533323,-0.025888747,-0.018880753,0.1083238,0.031402815,-0.014416702,-0.06644227,-0.05755351,-0.003736654,0.075325154,-0.047441524,0.0012502273,-0.0076672984,-0.08366682,0.047261894,-0.010443459,0.050180342,-0.046846766
ADSL,0.02380834,0.103712454,0.051482845,0.0077481857,0.0038274957,-0.0073688384,0.027638748,0.064329065,0.008149439,0.0018093628,-0.028988244,0.0071409084,-0.060797397,0.06519973,0.008224659,-0.0043513216,-0.09090454,0.099194385,0.089556985,0.0447163,0.071449496,0.05283069,0.06345138,0.0022349327,0.047235318,-0.0606524,0.073508844,0.03426525,-0.01069815,0.031932134,-0.06489797,0.057612978,-0.0038832952,0.0632824,-0.007274555,0.020522514,0.017291985,0.009506174,0.06296091,-0.002952539,-0.041125063,-0.04876378,-0.034268875,-0.025031604,0.033376653,0.026841972,-0.023242006,0.008111331,0.05857936,0.008142445,0.0394097,0.031479385,0.005160045,0.014667105,0.025615204,0.014628515
ADSS2,0.06885069,0.06830046,-0.03206316,0.023090564,0.026311299,0.095468536,0.0837172,0.022897383,0.032260995,-0.03315628,0.047277648,-0.017368363,0.00886158,0.008538088,-0.027117822,-0.079053015,-0.054194298,0.15576755,0.028298149,0.06031835,0.05922352,-0.00025871053,0.029172808,0.01688788,0.067667365,0.031734962,-0.0039255167,0.080559336,0.008105507,0.09998849,0.071788535,0.08178131,-0.021699851,0.1000434,0.062552124,-0.01883144,-0.055824533,0.024192706,0.07397403,0.007613211,-0.07690829,-0.03099071,0.015965141,0.034484576,-0.044425778,0.052948013,-0.034201987,-0.00840587,0.05725707,-0.02752872,0.11293614,0.06766239,0.056858342,-0.019334473,-0.0009035825,0.06250341
