genes,PCA_0,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17,PCA_18,PCA_19,PCA_20,PCA_21,PCA_22,PCA_23,PCA_24,PCA_25,PCA_26,PCA_27,PCA_28,PCA_29,PCA_30,PCA_31,PCA_32,PCA_33,PCA_34,PCA_35,PCA_36,PCA_37,PCA_38,PCA_39,PCA_40,PCA_41,PCA_42,PCA_43,PCA_44,PCA_45,PCA_46,PCA_47,PCA_48,PCA_49
NAMPT,-0.02140521743520262,0.02244646826801375,-0.08394965959506258,0.049347190483874835,-0.030891724237336427,0.011162864732276453,0.01926321369754303,0.00756306320076192,-0.020725881446280923,0.015097210819437164,0.00913608677038267,0.007725585885147415,0.02963342006488746,0.02234966605954869,-0.020050002682479723,-0.0345683720116242,0.04264307774974638,-0.03587440564731387,0.010384694389540662,-0.01077256004543092,0.030369272095368723,-0.021888700593327367,-0.01573130694149912,0.00555268162151379,0.006570680954209728,0.0032825248656916744,-0.009468977642778223,-0.006356536583297685,-0.041536848417672856,-0.01932517387345271,0.004031970085903035,0.020190739728053318,-0.02928616585560015,0.006225338368586085,-0.027918244270688477,0.014064810757557097,-0.021852321092181173,0.011100646677965776,-0.03757237849981397,-0.0008463936286282935,-0.009248942326442291,0.06123775480145244,0.05325273983673646,-0.02443307395342935,0.014954818700655305,-0.01794180653292554,0.035645354103566784,0.020040609329334477,-0.009052784055035974,-0.0019672920796505026
PEX2,-0.0026827536692170576,0.0015618295466976728,-0.003696794134771079,0.005998876132270306,0.005266812476050324,0.013699408369673578,0.0024299690313219504,-0.01740292505144223,-0.01539695879319647,0.006821219039983804,0.009168610173823259,-0.010266261931102865,-0.010860520151276632,0.016042463187407322,-0.0018318227884914203,0.0028461715316530746,-0.01920922743172046,-0.0009255539081849377,0.022189364811996706,-0.006796080999049559,0.0038128691959715025,-0.017788924530738298,0.0026011805906416235,0.0017740639691035513,-0.004838271702209172,-0.008138997067118878,0.006247708210493718,-0.0017576254474442898,-0.011293685538631025,0.026445243940014095,-0.00121995882025243,0.015189416279333191,0.015404633955334975,-0.014222873932705271,0.0012187254899989244,0.0037880224085478334,0.007941419192509017,-0.006562954934054424,-0.0038835167446622317,-0.017788191134963507,0.01706173139859715,0.007963951035952484,0.01455792833286627,0.005755044161907227,-0.0030214201480849557,0.014390659020371553,0.010300207271120429,-0.0006931581743547247,-0.01162801938493955,0.0011418602040060768
E2F8,0.0033289962045320995,-0.0005167482938718578,-0.006161224408937884,4.287506295447627e-05,0.002217399427461775,-0.001554957348654762,-0.005525110296730314,0.0030253261557830493,-0.0020361552273978753,-0.006592606992727741,0.007812693998067189,0.009161764749464802,-0.004926432385895068,0.00630751775517743,0.00013558001685872988,0.0019571380846341107,0.0017882765034631385,-0.012844586591558583,8.266743080549969e-05,-0.007997649811109637,0.0033785035282340122,0.021162737264162994,-0.004278291704926384,-0.004822265399688768,-0.004831510473293061,-0.004786374822403238,-0.000922623432890695,-0.016726282585763454,-0.02594702428217282,-0.005757452293922068,-0.002196092689901071,-0.005839462850709898,0.003626860418067965,-0.0157717475047128,0.004124188073202819,-0.01130578584924614,-0.013177058207305201,-0.002629017666116153,0.014303858996824088,0.005119963200768608,-0.020254663557393637,-0.0063764157214721475,-0.007187238486860218,-0.0048211212155329355,0.001961701924551316,-0.008347159745398697,0.005019986327341892,0.005776372877497924,0.006393598449849911,-0.0041935477921682274
DPH1,0.006784999751555347,0.031017909665703617,0.005978703676180576,0.004256311034384395,-0.010873366927647917,-0.002526459347808671,-0.0025965862928728676,0.004172918349510821,0.0007297165959346216,-0.005920172654784959,-0.007838816943039456,-0.004132906946292905,-0.010591248886203396,0.02468034742532081,0.00406832734675573,0.026396517813070813,-0.01891780046470306,0.02933781195104085,-0.010318669070322594,-0.0052646127657054445,0.0028223039446904218,-0.015399105221714456,0.011667498482939076,0.003324412577626202,-0.011602861515203603,-0.02267185350048372,0.0026799249213701774,0.01813687902552493,0.027806415894798552,-0.017178819500030182,-0.0027507148411190295,-0.0018334028473672782,-0.003457314113114325,-0.00618545166303755,-0.0181144202557341,0.01964071877507049,0.006500984432942639,-0.011613423669786415,-0.002820020809766658,0.026177816049792517,0.007643600377323349,-0.013101838496078695,0.002830334075707822,0.0053037920541503135,0.026209468171129707,0.004829844676332076,0.021883972774785494,-0.0157523244003488,0.014803655753753689,0.008824787134935421
FANCA,-0.007621945055163563,0.016402450744191346,0.008648785655199335,0.007537964115570875,-0.025578934702334386,-0.01803426519433175,0.001404846766842928,0.00632333083080346,-0.037229740091180887,-0.03557647036977294,-0.0038482377990945197,-0.0008330629068975234,0.016442590758910997,-0.010672748218149598,-0.0033180118448160136,0.010397642233765363,-0.007455267297270296,-0.012460127183365087,0.02730017262875731,0.012446579025572052,0.009240991098543212,-0.013861563159604644,0.0027732959096714587,0.023005697292262997,0.021684269081290813,-0.007244840325225656,-0.01717467800753476,-0.015538964027231407,-0.02825554654553067,0.0061995305525295126,-0.0063529409702498185,-0.002926870263516992,-0.010604149353014944,0.011742612889616389,-0.006726106835191923,0.01047199472406695,0.027969435490634898,-0.0153737604916711,0.004722570703189643,-0.0025592694692863826,0.034807521105317374,-0.02298752962951938,-0.0147897516990893,-0.009497194417507205,0.006497595980216421,-0.014111681412606747,-0.0008354804854563749,-0.03318543704975888,0.012841350117517917,0.020540846293610814
COA5,-0.01888716847615167,0.019695381885146836,-0.029249009830931698,-0.0337953557396923,0.00044986209571267036,0.019301981780443782,0.01932866175551967,-0.03162138997769575,0.005557584999529922,0.0021021986870859,0.0011296747410415387,-0.005136259738498791,0.009479258550330055,-0.011802696778621188,-0.006065384154910422,0.011163997260552424,0.006897104650635355,-0.00891578437316014,0.016776689234028225,-0.009183783727436353,-0.005380657263801089,-0.015290870397516679,-0.014033879044063056,-0.004593731503617048,-0.006054717831231572,0.002836604945776957,-0.012891993677831509,0.00022077617461297545,0.005909649365672549,0.009241985013120462,0.008765308296887922,-0.011088611904478915,-0.005488300741570183,0.0100536759425043,0.016262855902923975,0.006186874880482208,-0.014402768816711852,-0.00053218104770646,-0.00015575800690878735,-0.0190767873401602,0.008594799901046776,-0.006541147166383358,0.00030817993306189116,-0.0037799023620493644,-0.006914560234112047,-0.012207747399549556,-0.00681943372556368,-0.004556465087247404,-0.003915227238140433,0.005763976285564604
SCAP,-0.05005967021498547,0.04117150888455848,-0.012872072310894897,0.09250271956620136,0.10052260274763423,0.012093801938632567,0.02678718840060036,-0.008397493050063968,0.025842157527505044,0.023087396967865093,-0.013215368681938407,-0.010947548981771625,-0.10377298537488393,0.1305898634428565,0.19387366260393907,-0.037434700221978104,0.012691366359074868,0.06905211047313296,0.09510206787873958,0.059961397736744436,-0.05200368772179136,0.020806479008598742,0.13278714107144982,-0.04052933317954533,-0.07590099935150131,0.07311278192374324,0.06789042929820568,-0.10781471560209228,-0.08542318260150676,0.21028919780733255,0.10075968400016404,-0.012627944831567393,0.0688640440242321,-0.018400810413909258,-0.11859924823954429,0.03800595629013641,0.03644484945349745,-0.05477817613692416,0.031305387884942484,-0.028862021962944795,0.043034807361807155,0.021406367119602986,-0.011801469665442247,-0.06617570883669831,-0.01562064932021793,-0.013651063486625288,-0.006351844924119374,-0.039579249317045075,0.025822961535661194,0.01275854358145983
NIPBL,-0.017019010582245003,0.003396161282694902,-0.009010663848926534,0.0008006392354439772,-0.016342522787091886,0.01417009404960002,-0.0098638510394988,0.0019424924862935387,-0.03763556808860518,0.011538747036171783,-0.041421611354637365,0.011713084990890948,-0.03718736515679471,-0.008895812162657548,0.026985673062108702,0.04085330522121927,-0.024376619301391407,0.024226121709711262,0.012853662649175819,-0.022130129267591676,0.01825536349013198,0.02071800484889457,-0.02030935105253996,-0.0004188078881922479,0.014456397183552764,-0.021752686100477907,0.002307641259089862,0.018440486624395278,0.0014974155551610102,0.010765905835044866,-0.006007345325317088,0.01747742856193097,-0.006326554459269278,-0.023888777512245517,0.008908335326600481,0.001668559720244914,0.0022825512967993584,0.021956730534809732,-0.03045460536527812,0.020208230205557443,-0.014063172955656431,-0.0003786567922277193,0.0012564687045252116,-0.017801116205739903,0.007823455644942117,0.014198503421476374,0.007414416787835189,0.02500622190488116,0.04515082517974495,0.026064796147937375
ZSWIM6,-0.006221805188451481,0.0002561586097283177,-0.0045734573060400106,-0.007445094793258567,-0.0063393340936000585,0.016395261472811215,0.0008513383913550369,0.0026659404168418053,-0.00043049247082449065,0.006057779622155251,0.0014557980891584633,-0.0033494665191384503,-0.0001764133498413827,0.0003814706703140877,0.00022355820143658722,-0.003530495116030932,-0.0061780040620471755,0.0029699540215646007,0.007724969820703726,0.0009123257937779831,0.005348066553388957,-0.0008506405785542211,0.0021466966555558167,-0.004311536109499965,0.0008955954490473136,0.005110514193013239,0.006085963777219727,0.013024766722816323,0.006732003019446205,-0.004935866908803226,-0.00435734659357184,0.009389428093519265,0.010107662425997034,0.0007082803244367408,0.0024978615706856616,0.003946959502213372,-0.009698311818848731,0.01477903196534099,0.0010464616885673226,-0.0058181229417617894,0.008044952352462487,-0.0056166414639307865,-0.00902206328718397,0.010142254689506407,-0.001987143989174815,3.459933714528431e-05,0.0023174639907866884,0.005281057907714129,-0.003661222817730967,-0.0065914105649459535
FITM2,0.0023107757058059624,0.004006750532358233,0.004655021666271521,0.008765735207773382,0.014328346261254904,-0.0035499864366312288,0.00861078243142778,0.0034233428793533794,-0.019550936336778835,-0.0008817735511334506,0.011327129585494472,0.010943753747795524,-0.009186862331990541,0.01590087668543897,0.01098774623499353,-0.00041450560716839994,-0.0071583641185046535,-0.00040455385068472675,-0.012467417557635226,-0.012874163414706827,-0.005905562882900599,0.003954766457992089,0.008809457296562111,-0.028642722164027593,-0.0011066975794412114,-0.012780685371822234,0.013969777982876675,-0.012597426923580218,-0.011535445628701473,8.325046515645368e-05,0.00907327706232545,-0.004753857912634088,0.004249669053105871,0.007571072499805743,0.0041885271946602584,0.008075901255502517,-0.016688025307540155,-0.0038915865799341387,0.005997222260672243,-0.002144004593151436,0.012565739175991544,0.007092258097418167,0.010207669539300803,0.004167533340591852,-0.008580029814314882,0.008442721960335254,0.013970893542990944,-0.006750037925044976,-0.001475445504799297,-0.0009594919305794206
